test	store	count	min	max	mean	median	p75	p95	p98	99	status
InsertTest	HeapStore	3	17,504000	23,432000	20,565000	20,759000	23,432000	23,432000	23,432000	23,432000	OK
InsertTest	BigMemoryGoStore	3	17,625000	33,641000	27,636000	31,642000	33,641000	33,641000	33,641000	33,641000	OK
InsertTest	MapDBStore	3	11,036000	14,058000	12,677000	12,937000	14,058000	14,058000	14,058000	14,058000	OK
InsertTest	ChronicleStore	3	4,812000	5,139000	5,026333	5,128000	5,139000	5,139000	5,139000	5,139000	OK
InsertTest	JNAStore	3	6,740000	7,063000	6,868333	6,802000	7,063000	7,063000	7,063000	7,063000	OK
InsertTest	FSTStore	1	8,004000	8,004000	8,004000	8,004000	8,004000	8,004000	8,004000	8,004000	Direct buffer memory
SequentialReadTest	HeapStore	3	0,628000	0,671000	0,650333	0,652000	0,671000	0,671000	0,671000	0,671000	OK
SequentialReadTest	BigMemoryGoStore	3	49,481000	55,766000	52,891667	53,428000	55,766000	55,766000	55,766000	55,766000	OK
SequentialReadTest	MapDBStore	3	17,335000	20,226000	18,494333	17,922000	20,226000	20,226000	20,226000	20,226000	OK
SequentialReadTest	ChronicleStore	3	1,763000	1,930000	1,835667	1,814000	1,930000	1,930000	1,930000	1,930000	OK
SequentialReadTest	JNAStore	3	2,248000	2,397000	2,319000	2,312000	2,397000	2,397000	2,397000	2,397000	OK
SequentialReadTest	FSTStore	1	5,319000	5,319000	5,319000	5,319000	5,319000	5,319000	5,319000	5,319000	Direct buffer memory
RandomReadTest	HeapStore	3	1,082000	1,137000	1,117000	1,132000	1,137000	1,137000	1,137000	1,137000	OK
RandomReadTest	BigMemoryGoStore	3	51,417000	55,350000	53,391333	53,407000	55,350000	55,350000	55,350000	55,350000	OK
RandomReadTest	MapDBStore	3	195,823000	209,801000	202,038000	200,490000	209,801000	209,801000	209,801000	209,801000	OK
RandomReadTest	ChronicleStore	3	2,862000	2,898000	2,879000	2,877000	2,898000	2,898000	2,898000	2,898000	OK
RandomReadTest	JNAStore	3	3,229000	3,423000	3,301333	3,252000	3,423000	3,423000	3,423000	3,423000	OK
RandomReadTest	FSTStore	1	5,865000	5,865000	5,865000	5,865000	5,865000	5,865000	5,865000	5,865000	Direct buffer memory
GaussianRandomReadTest	HeapStore	3	1,267000	1,278000	1,271000	1,268000	1,278000	1,278000	1,278000	1,278000	OK
GaussianRandomReadTest	BigMemoryGoStore	3	48,786000	49,440000	49,044000	48,906000	49,440000	49,440000	49,440000	49,440000	OK
GaussianRandomReadTest	MapDBStore	3	177,053000	184,276000	180,442667	179,999000	184,276000	184,276000	184,276000	184,276000	OK
GaussianRandomReadTest	ChronicleStore	3	2,886000	2,981000	2,939667	2,952000	2,981000	2,981000	2,981000	2,981000	OK
GaussianRandomReadTest	JNAStore	3	3,339000	3,442000	3,395333	3,405000	3,442000	3,442000	3,442000	3,442000	OK
GaussianRandomReadTest	FSTStore	0	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	java.lang.NullPointerException
RandomReadWriteTest	HeapStore	3	44,918000	89,034000	63,017000	55,099000	89,034000	89,034000	89,034000	89,034000	OK
RandomReadWriteTest	BigMemoryGoStore	3	45,115000	46,720000	45,652667	45,123000	46,720000	46,720000	46,720000	46,720000	OK
RandomReadWriteTest	MapDBStore	3	294,722000	347,199000	317,005667	309,096000	347,199000	347,199000	347,199000	347,199000	OK
RandomReadWriteTest	ChronicleStore	3	4,600000	5,114000	4,817000	4,737000	5,114000	5,114000	5,114000	5,114000	OK
RandomReadWriteTest	JNAStore	3	4,964000	5,264000	5,127000	5,153000	5,264000	5,264000	5,264000	5,264000	OK
RandomReadWriteTest	FSTStore	1	7,344000	7,344000	7,344000	7,344000	7,344000	7,344000	7,344000	7,344000	Direct buffer memory
